#: table_doi: 10.17182/hepdata.103065.v1/t45
#: name: Figure 10-a Observed Lines
#: description: The observed exclusion contour of the T1tttt simplified model with respect to approximate NNLO+NNLL signal cross sections and the change in this contour due to variation of these cross sections within their theoretical uncertainties ($\sigma_{\text{theory}}$).
#: data_file: figure_10-a_observed_lines.yaml
#: keyword observables: CLS
#: keyword phrases: Supersymmetry | Proton-Proton Scattering | Gluino pair production | Top squark | Gluino | Dark Matter | SUSY | T1tttt
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQ NEUTRALINO
$m_{\tilde{g}}$ [GeV],$-1 \sigma$
1807.0,1328.9
1824.7,1336.9
1843.2,1344.2
1861.8,1350.4
1881.6,1354.7
1901.8,1357.3
1922.6,1358.4
1942.8,1357.9
1961.7,1356.7
1978.6,1355.5
1992.5,1354.5
2004.8,1353.9
2017.1,1352.6
2030.5,1349.9
2045.1,1344.4
2061.6,1335.0
2078.9,1321.8
2095.7,1304.7
2110.8,1285.2
2123.5,1263.9
2134.2,1242.4
2142.9,1221.3
2149.6,1201.5
2156.0,1182.3
2162.0,1163.8
2167.8,1143.8
2173.8,1122.2
2179.4,1096.1
2184.6,1064.7
2189.5,1027.5
2193.7,985.38
2197.7,938.66
2201.4,889.47
2204.5,838.53
2207.4,785.9
2209.5,733.63
2210.9,679.1
2211.6,625.63
2211.6,572.84
2211.1,521.25
2210.5,471.94
2209.8,424.6
2208.8,377.93
2207.6,331.55
2205.9,285.74
2203.8,238.29
2201.2,153.56
2198.3,111.46
2195.6,100.0
2193.1,22.513
2191.2,0.0
1336.6,~
1342.3,~
1352.3,~
1365.8,~
1381.8,~
1399.9,~
1418.8,~
1437.7,~
1456.0,~
1474.0,~
1493.1,~
1514.2,~
1536.1,~
1559.4,~
1583.2,~
1606.3,~
1627.9,~
1647.8,~
1665.8,~
1683.1,~
1699.8,~
1716.1,~
1732.7,~
1750.0,~
1767.6,~
1785.0,~
1802.6,~
1820.3,~
1837.4,~
1854.6,~
1871.2,~
1887.5,~
1903.4,~
1919.1,~
1935.7,~
1953.1,~
1972.8,~
1994.4,~
2017.8,~
2041.1,~
2064.1,~
2085.1,~
2104.7,~
2122.1,~
2139.6,~
2158.0,~
2176.9,~
2196.7,~
2216.0,~
2233.6,~
2248.6,~
2261.0,~
2270.5,~
2278.3,~
2284.1,~
2289.6,~
2294.5,~
2299.0,~
2302.9,~
2306.1,~
2308.5,~
2310.0,~
2310.6,~
2310.9,~
2310.9,~
2310.7,~
2310.4,~
2309.9,~
2309.2,~
2308.3,~
2307.3,~
2306.0,~
2304.7,~
2303.2,~
2301.1,~
2298.6,~
2295.7,~
2292.6,~
2289.6,~
2287.1,~
2285.3,~

$m_{\tilde{g}}$ [GeV],Observed Exclusion Contour
1300.1,1076.1
1301.9,1077.0
1306.1,1078.9
1313.8,1083.2
1325.3,1089.9
1341.6,1098.5
1361.4,1108.9
1383.7,1120.1
1406.8,1131.0
1430.1,1141.0
1453.1,1150.1
1474.7,1158.4
1496.2,1167.1
1518.6,1176.4
1541.8,1187.0
1564.8,1198.7
1587.6,1210.6
1609.3,1222.6
1629.1,1233.9
1646.9,1244.3
1662.8,1254.0
1677.9,1263.2
1692.6,1272.1
1707.9,1282.0
1723.9,1292.7
1740.0,1304.3
1755.5,1315.8
1770.9,1326.7
1785.4,1336.9
1799.9,1345.6
1815.0,1353.2
1830.9,1360.2
1848.2,1367.3
1865.8,1374.0
1884.0,1381.0
1902.2,1388.3
1920.2,1395.4
1937.5,1401.8
1955.5,1407.6
1974.6,1411.9
1995.3,1414.0
2018.1,1412.6
2042.0,1407.0
2067.1,1396.6
2092.5,1382.0
2116.5,1363.0
2138.0,1340.7
2156.0,1316.7
2170.1,1291.7
2180.8,1267.5
2189.7,1242.1
2197.5,1217.6
2205.8,1192.9
2214.8,1166.2
2224.3,1137.9
2233.6,1106.5
2241.8,1072.9
2248.2,1037.1
2253.1,998.51
2256.3,956.82
2258.6,914.42
2260.6,868.29
2262.1,820.12
2262.9,769.91
2263.4,718.42
2263.6,666.84
2263.5,615.37
2263.2,565.23
2262.7,516.46
2262.0,470.23
2261.3,423.78
2260.1,376.44
2258.6,328.2
2256.9,280.19
2255.0,230.05
2252.9,181.76
2251.0,100.0
2249.5,97.112
2248.6,11.548
2248.1,0.16821
2247.8,0.0
1260.6,~
1260.2,~
1261.6,~
1266.9,~
1276.5,~
1290.2,~
1307.2,~
1326.0,~
1345.1,~
1363.9,~
1382.9,~
1401.4,~
1420.7,~
1440.7,~
1461.3,~
1482.4,~
1503.3,~
1524.3,~
1545.9,~
1567.8,~
1589.7,~
1611.3,~
