#: table_doi: 10.17182/hepdata.103065.v1/t53
#: name: Figure 11 Observed Lines
#: description: The observed exclusion contour of the T5ttcc simplified model with respect to approximate NNLO+NNLL signal cross sections and the change in this contour due to variation of these cross sections within their theoretical uncertainties ($\sigma_{\text{theory}}$). The expected and observed upper limits do not take into account contributions from direct top squark pair production; however, its effect is small for $m_{\tilde{\chi}^0_1} > 600 GeV$, which corresponds to the phase space beyond the exclusions based on direct top squark pair production. The excluded regions based on direct top squark pair production from this search and earlier searches are indicated by the hatched areas.
#: data_file: figure_11_observed_lines.yaml
#: keyword observables: CLS
#: keyword phrases: Supersymmetry | Proton-Proton Scattering | Gluino pair production | Top squark | Gluino | Dark Matter | SUSY | T5ttcc
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> STOP STOP | STOP --> CQ NEUTRALINO
$m_{\tilde{g}}$ [GeV],$-1 \sigma$
1208.6,~
1216.2,~
1224.4,~
1233.5,~
1242.2,~
1250.4,~
1259.0,~
1267.9,~
1277.0,~
1284.8,~
1292.1,~
1299.5,~
1307.5,~
1315.6,~
1323.3,~
1331.0,~
1338.2,~
1345.8,~
1353.4,~
1361.6,~
1371.0,~
1381.2,~
1392.3,~
1403.1,~
1414.4,~
1425.4,~
1435.8,~
1444.7,~
1452.9,~
1462.7,~
1476.1,~
1493.8,~
1512.4,~
1529.0,~
1541.2,~
1552.4,~
1566.9,~
1587.5,~
1611.5,~
1635.2,~
1655.8,~
1675.8,~
1696.8,~
1719.7,~
1743.3,~
1766.8,~
1791.3,~
1815.5,~
1839.8,~
1863.7,~
1888.2,~
1914.3,~
1940.8,~
1966.2,~
1987.9,~
2006.1,~
2021.3,~
2033.5,~
2043.7,~
2051.7,~
2059.7,~
2067.9,~
2076.4,~
2083.8,~
2089.9,~
2095.5,~
2100.7,~
2105.6,~
2110.1,~
2114.8,~
2119.6,~
2124.5,~
2129.3,~
2134.3,~
2139.4,~
2144.4,~
2148.5,~
2151.5,~
2153.3,~
2153.5,~
2152.0,~
2149.0,~
2145.8,~
2142.2,~
2137.1,~
2129.5,~
2120.2,~
2108.5,~
2094.4,~
2075.5,~
2053.3,~
2029.3,~
2005.8,~
1983.5,~
1960.4,~
1937.9,~
1914.7,~
1893.6,~
1876.1,~
1828.9,7.0681
1843.2,17.493
1863.4,31.689
1886.9,45.979
1910.6,57.88
1934.3,66.829
1957.3,73.916
1980.7,80.439
2003.3,85.983
2024.7,90.746
2045.7,101.47
2064.7,120.84
2081.9,148.38
2094.0,178.47
2101.1,207.4
2103.8,235.58
2104.4,267.9
2105.5,305.62
2106.5,346.97
2106.5,388.35
2104.8,426.64
2101.9,460.58
2098.9,491.03
2096.2,527.11
2093.7,571.63
2090.7,623.2
2087.1,675.65
2082.4,727.31
2076.4,777.89
2069.5,827.16
2062.5,872.36
2056.4,910.8
2051.2,944.39
2046.4,979.43
2040.8,1020.2
2034.0,1068.1
2026.3,1117.7
2018.2,1161.3
2009.8,1193.2
2001.4,1213.2
1991.5,1230.4
1980.7,1249.0
1969.9,1269.4
1959.3,1288.4
1947.7,1304.0
1931.3,1316.5
1910.4,1326.4
1887.2,1334.0
1864.5,1339.4
1844.6,1343.4
1827.1,1347.1
1812.1,1350.2
1798.4,1351.7
1785.2,1351.5
1772.1,1350.1
1757.0,1347.9
1739.9,1345.1
1718.8,1342.3
1694.4,1339.5
1667.7,1335.1
1641.5,1327.9
1617.7,1317.2
1595.9,1305.5
1577.0,1294.2
1558.4,1283.9
1540.2,1273.9
1522.5,1264.2
1506.2,1256.5
1491.3,1250.7
1475.5,1245.8
1459.4,1240.4
1444.1,1234.6
1432.6,1229.5
1424.7,1224.8
1417.8,1219.3
1409.2,1211.8
1398.6,1202.8
1386.5,1193.6
1374.7,1185.7
1364.0,1179.4
1353.5,1173.5
1343.8,1167.6
1334.6,1161.8
1326.0,1155.4
1317.8,1148.3
1309.8,1140.5
1302.4,1132.1
1295.3,1124.7
1287.3,1117.8
1278.0,1111.9
1267.4,1106.6
1258.7,1102.8
1251.7,1099.2
1245.2,1094.4
1237.8,1088.2
1229.4,1081.3
1221.5,1075.2
1213.6,1069.5
1206.1,1064.3
1198.1,1058.3
1189.7,1051.8
1180.5,1044.8
1169.7,1037.3
1157.8,1030.1
1146.1,1023.6
1135.1,1017.3
1125.7,1011.7
1118.2,997.19
1113.4,1003.5
1111.2,1002.5
1139.0,~
1144.0,~
1148.7,~
1151.3,~
1152.7,~
1155.0,~
1160.1,~
1168.7,~
1178.9,~
1188.7,~
1196.8,~
1203.5,~
1210.9,~
1219.4,~
1229.2,~
1239.2,~
1249.2,~
1259.3,~
1268.4,~
1276.1,~
1282.3,~
1288.9,~
1296.7,~
1305.2,~
1313.5,~
1320.6,~
1327.4,~
1334.2,~
1341.9,~
1350.2,~
1358.8,~
1368.0,~
1377.4,~
1387.9,~
1398.7,~
1410.2,~
1421.9,~
1432.6,~
1443.3,~
1453.1,~
1464.0,~
1476.4,~
1490.4,~
1504.9,~
1518.8,~
1533.2,~
1548.8,~
1567.2,~
1588.1,~
1609.4,~
1630.5,~
1650.6,~
1670.6,~
1691.6,~
1712.6,~
1735.1,~
1757.2,~
1778.4,~
1797.7,~
1814.5,~
1830.7,~
1847.1,~
1866.6,~
1889.4,~
1917.0,~
1949.4,~
1984.2,~
2017.2,~
2043.2,~
2061.2,~
2072.9,~
2082.6,~
2092.1,~
2100.1,~
2106.8,~
2112.9,~
2119.5,~
2126.4,~
2132.8,~
2138.8,~
2144.2,~
2148.9,~
2152.4,~
2155.4,~
2158.7,~
2162.7,~
2167.1,~
2171.9,~
2176.7,~
2181.7,~
2186.0,~
2189.5,~
2191.8,~
2193.1,~
2193.1,~
2189.3,~
2181.3,~
2169.7,~
2155.6,~
2141.1,~
2123.6,~
2103.6,~
2080.0,~
2055.4,~
2031.7,~
2008.2,~
1986.4,~
1963.6,~
1941.5,~
1920.3,~
1903.0,~
1891.0,~

$m_{\tilde{g}}$ [GeV],Observed Exclusion Contour
1129.1,1021.1
1130.8,1022.6
1133.8,1024.6
1138.2,1026.8
1145.6,1030.3
1155.3,1035.3
1166.1,1041.7
1176.4,1048.7
1185.3,1055.5
1193.7,1062.1
1201.4,1067.9
1208.6,1073.0
1216.2,1078.3
1224.4,1084.2
1233.5,1091.3
1242.2,1098.3
1250.4,1104.1
1259.0,1108.4
1267.9,1112.0
1277.0,1116.2
1284.8,1121.0
1292.1,1127.3
1299.5,1134.6
1307.5,1143.0
1315.6,1151.2
1323.3,1158.6
1331.0,1165.0
1338.2,1170.3
1345.8,1175.0
1353.4,1179.4
1361.6,1184.3
1371.0,1190.6
1381.2,1198.8
1392.3,1207.9
1403.1,1216.5
1414.4,1224.6
1425.4,1232.6
1435.8,1240.4
1444.7,1247.5
1452.9,1252.9
1462.7,1257.0
1476.1,1261.1
1493.8,1267.6
1512.4,1276.5
1529.0,1286.6
1541.2,1295.5
1552.4,1302.2
1566.9,1309.7
1587.5,1319.7
1611.5,1332.9
1635.2,1345.2
1655.8,1353.6
1675.8,1358.2
1696.8,1361.0
1719.7,1364.1
1743.3,1367.4
1766.8,1370.0
1791.3,1372.0
1815.5,1373.8
1839.8,1375.7
1863.7,1377.3
1888.2,1377.7
1914.3,1375.2
1940.8,1368.1
1966.2,1355.2
1987.9,1336.6
2006.1,1314.2
2021.3,1291.7
2033.5,1273.0
2043.7,1256.8
2051.7,1238.3
2059.7,1210.9
2067.9,1173.9
2076.4,1128.9
2083.8,1082.7
2089.9,1039.7
2095.5,1000.7
2100.7,966.88
2105.6,936.71
2110.1,906.99
2114.8,872.11
2119.6,829.29
2124.5,780.52
2129.3,729.12
2134.3,675.07
2139.4,620.65
2144.4,567.15
2148.5,518.32
2151.5,476.69
2153.3,439.67
2153.5,405.26
2152.0,372.1
2149.0,337.39
2145.8,300.86
2142.2,259.58
2137.1,216.04
2129.5,174.99
2120.2,139.54
2108.5,115.02
2094.4,100.11
2075.5,92.297
2053.3,87.114
2029.3,81.257
2005.8,74.61
1983.5,67.66
1960.4,59.76
1937.9,51.401
1914.7,33.861
1893.6,31.017
1876.1,0.0
1828.9,~
1843.2,~
1863.4,~
1886.9,~
1910.6,~
1934.3,~
1957.3,~
1980.7,~
2003.3,~
2024.7,~
2045.7,~
2064.7,~
2081.9,~
2094.0,~
2101.1,~
2103.8,~
2104.4,~
2105.5,~
2106.5,~
2106.5,~
2104.8,~
2101.9,~
2098.9,~
2096.2,~
2093.7,~
2090.7,~
2087.1,~
2082.4,~
2076.4,~
2069.5,~
2062.5,~
2056.4,~
2051.2,~
2046.4,~
2040.8,~
2034.0,~
2026.3,~
2018.2,~
2009.8,~
2001.4,~
1991.5,~
1980.7,~
1969.9,~
1959.3,~
1947.7,~
1931.3,~
1910.4,~
1887.2,~
1864.5,~
1844.6,~
1827.1,~
1812.1,~
1798.4,~
1785.2,~
1772.1,~
1757.0,~
1739.9,~
1718.8,~
1694.4,~
1667.7,~
1641.5,~
1617.7,~
1595.9,~
1577.0,~
1558.4,~
1540.2,~
1522.5,~
1506.2,~
1491.3,~
1475.5,~
1459.4,~
1444.1,~
1432.6,~
1424.7,~
1417.8,~
1409.2,~
1398.6,~
1386.5,~
1374.7,~
1364.0,~
1353.5,~
1343.8,~
1334.6,~
1326.0,~
1317.8,~
1309.8,~
1302.4,~
1295.3,~
1287.3,~
1278.0,~
1267.4,~
1258.7,~
1251.7,~
1245.2,~
1237.8,~
1229.4,~
1221.5,~
1213.6,~
1206.1,~
1198.1,~
1189.7,~
1180.5,~
1169.7,~
1157.8,~
1146.1,~
1135.1,~
1125.7,~
1118.2,~
1113.4,~
1111.2,~
1139.0,~
1144.0,~
1148.7,~
1151.3,~
1152.7,~
1155.0,~
1160.1,~
1168.7,~
1178.9,~
1188.7,~
1196.8,~
1203.5,~
1210.9,~
1219.4,~
1229.2,~
1239.2,~
1249.2,~
1259.3,~
1268.4,~
1276.1,~
1282.3,~
1288.9,~
1296.7,~
1305.2,~
1313.5,~
1320.6,~
1327.4,~
1334.2,~
1341.9,~
1350.2,~
1358.8,~
1368.0,~
1377.4,~
1387.9,~
1398.7,~
1410.2,~
1421.9,~
1432.6,~
1443.3,~
1453.1,~
1464.0,~
1476.4,~
1490.4,~
1504.9,~
1518.8,~
1533.2,~
1548.8,~
1567.2,~
1588.1,~
1609.4,~
1630.5,~
1650.6,~
1670.6,~
1691.6,~
1712.6,~
1735.1,~
1757.2,~
1778.4,~
1797.7,~
1814.5,~
1830.7,~
1847.1,~
1866.6,~
1889.4,~
1917.0,~
1949.4,~
1984.2,~
2017.2,~
2043.2,~
2061.2,~
2072.9,~
2082.6,~
2092.1,~
2100.1,~
2106.8,~
2112.9,~
2119.5,~
2126.4,~
2132.8,~
2138.8,~
2144.2,~
2148.9,~
2152.4,~
2155.4,~
2158.7,~
2162.7,~
2167.1,~
2171.9,~
2176.7,~
2181.7,~
2186.0,~
2189.5,~
2191.8,~
2193.1,~
2193.1,~
2189.3,~
2181.3,~
2169.7,~
2155.6,~
2141.1,~
2123.6,~
2103.6,~
2080.0,~
2055.4,~
2031.7,~
2008.2,~
1986.4,~
1963.6,~
1941.5,~
1920.3,~
1903.0,~
1891.0,~

