#: table_doi: 10.17182/hepdata.103065.v1/t49
#: name: Figure 10-b Observed Lines
#: description: The observed exclusion contour of the T1ttbb simplified model with respect to approximate NNLO+NNLL signal cross sections and the change in this contour due to variation of these cross sections within their theoretical uncertainties ($\sigma_{\text{theory}}$).
#: data_file: figure_10-b_observed_lines.yaml
#: keyword observables: CLS
#: keyword phrases: Supersymmetry | Proton-Proton Scattering | Gluino pair production | Top squark | Gluino | Dark Matter | SUSY | T1ttbb
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ BQ CHARGINO | GLUINO --> TQ TQ NEUTRALINO | GLUINO --> BQ BQ NEUTRALINO
$m_{\tilde{g}}$ [GeV],$-1 \sigma$
2181.9,879.15
2186.4,825.2
2189.7,766.91
2191.9,710.93
2193.2,656.87
2192.9,607.62
2191.3,563.09
2188.8,519.32
2186.2,475.82
2183.8,427.25
2181.1,377.04
2177.3,326.13
2172.4,277.12
2167.2,232.39
2162.7,194.31
2159.4,164.0
2157.4,141.38
2155.8,123.56
2153.8,108.41
2150.9,96.187
2146.6,86.083
2141.2,77.159
2135.2,67.092
2129.0,56.11
2122.8,45.354
2116.6,35.617
2108.8,28.025
2097.4,21.997
2082.3,16.467
2065.7,4.1685
2051.9,2.6814
2043.1,0.0
1486.3,~
1495.8,~
1510.1,~
1528.5,~
1548.8,~
1568.8,~
1588.6,~
1607.0,~
1623.8,~
1640.0,~
1656.2,~
1674.6,~
1695.1,~
1716.3,~
1736.8,~
1754.7,~
1770.6,~
1786.2,~
1803.0,~
1822.7,~
1844.3,~
1867.6,~
1892.0,~
1916.3,~
1940.8,~
1963.1,~
1984.9,~
2005.8,~
2029.1,~
2053.9,~
2080.2,~
2106.7,~
2131.1,~
2153.1,~
2170.4,~
2185.1,~
2197.7,~
2211.1,~
2225.6,~
2240.6,~
2254.4,~
2265.4,~
2273.1,~
2277.8,~
2280.8,~
2283.1,~
2285.0,~
2286.4,~
2287.0,~
2287.0,~
2286.4,~
2285.1,~
2283.0,~
2280.0,~
2276.1,~
2271.7,~
2267.0,~
2262.4,~
2258.0,~
2254.1,~
2251.1,~
2248.6,~
2245.9,~
2242.3,~
2238.2,~
2234.0,~
2230.1,~
2225.9,~
2220.4,~
2213.8,~
2206.6,~
2198.7,~
2189.0,~
2176.7,~
2161.6,~
2146.5,~
2133.8,~

$m_{\tilde{g}}$ [GeV],Observed Exclusion Contour
1472.8,1241.2
1489.2,1250.1
1511.2,1261.5
1534.0,1273.6
1554.1,1284.6
1570.0,1293.7
1584.7,1302.2
1600.2,1310.6
1617.9,1319.4
1638.3,1328.3
1659.2,1336.4
1678.2,1342.9
1695.0,1348.2
1710.3,1352.6
1727.3,1357.5
1746.1,1363.6
1769.0,1371.6
1794.1,1380.3
1818.3,1388.2
1841.1,1393.8
1860.4,1396.4
1881.0,1396.4
1903.6,1394.6
1929.9,1390.7
1958.9,1384.1
1987.4,1375.5
2014.3,1366.5
2034.7,1358.6
2050.1,1349.3
2062.2,1336.7
2074.2,1320.3
2087.4,1302.7
2100.8,1287.1
2114.7,1271.0
2128.1,1252.9
2141.2,1230.5
2154.3,1203.3
2167.7,1173.7
2181.3,1144.0
2193.7,1116.4
2204.1,1089.3
2212.9,1059.3
2220.9,1022.5
2228.2,980.37
2234.1,934.17
2238.5,884.11
2242.3,829.82
2245.2,776.76
2247.1,734.16
2247.9,700.17
2247.5,665.51
2246.5,621.91
2245.2,571.86
2243.5,522.82
2240.5,477.9
2236.1,431.81
2230.9,381.54
2225.8,328.32
2220.8,276.73
2216.0,231.16
2211.3,193.08
2207.2,165.15
2204.0,145.81
2201.3,131.12
2198.9,116.82
2196.8,102.7
2195.1,90.162
2192.4,79.317
2187.7,69.353
2180.2,58.342
2171.4,47.224
2163.3,36.846
2155.2,28.691
2145.6,22.866
2132.4,17.713
2116.7,7.7744
2101.9,5.3666
2090.8,0.0
1433.0,~
1437.7,~
1445.8,~
1457.4,~
1473.8,~
1494.5,~
1518.1,~
1542.4,~
1565.2,~
1587.3,~
1608.0,~
1628.9,~
1649.1,~
1669.4,~
1690.9,~
1712.5,~
1733.8,~
1753.1,~
1769.8,~
1783.8,~
1797.8,~
1816.3,~
1839.9,~
1865.8,~
1890.8,~
1914.5,~
1938.3,~
1961.7,~
1983.5,~
2001.9,~
2018.0,~
2032.2,~
2043.4,~
2052.2,~
2061.5,~
2073.8,~
2088.9,~
2103.5,~
2117.1,~
2130.0,~
2143.0,~
2155.9,~
2166.7,~
2175.5,~
2181.9,~
2186.4,~
2189.7,~
2191.9,~
2193.2,~
2192.9,~
2191.3,~
2188.8,~
2186.2,~
2183.8,~
2181.1,~
2177.3,~
2172.4,~
2167.2,~
2162.7,~
2159.4,~
2157.4,~
2155.8,~
2153.8,~
2150.9,~
2146.6,~
2141.2,~
2135.2,~
2129.0,~
2122.8,~
2116.6,~
2108.8,~
2097.4,~
2082.3,~
2065.7,~
2051.9,~
2043.1,~
1486.3,~
1495.8,~
1510.1,~
1528.5,~
1548.8,~
1568.8,~
1588.6,~
1607.0,~
1623.8,~
1640.0,~
1656.2,~
1674.6,~
1695.1,~
1716.3,~
1736.8,~
1754.7,~
1770.6,~
1786.2,~
1803.0,~
1822.7,~
1844.3,~
1867.6,~
1892.0,~
1916.3,~
1940.8,~
1963.1,~
1984.9,~
2005.8,~
2029.1,~
2053.9,~
2080.2,~
2106.7,~
2131.1,~
2153.1,~
2170.4,~
2185.1,~
2197.7,~
2211.1,~
2225.6,~
2240.6,~
2254.4,~
2265.4,~
2273.1,~
2277.8,~
2280.8,~
2283.1,~
2285.0,~
2286.4,~
2287.0,~
2287.0,~
2286.4,~
2285.1,~
2283.0,~
2280.0,~
2276.1,~
2271.7,~
2267.0,~
2262.4,~
2258.0,~
2254.1,~
2251.1,~
2248.6,~
2245.9,~
2242.3,~
2238.2,~
2234.0,~
2230.1,~
2225.9,~
2220.4,~
2213.8,~
2206.6,~
2198.7,~
2189.0,~
2176.7,~
2161.6,~
2146.5,~
2133.8,~

