# higgsino GGM
# {sqrt(s), lumi [fb], xsec [fb] at mass excluded, xsec [fb] min excluded on plot, mass [GeV] excluded, date}
# https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-21/figaux_09a.png : not good, turns out 4L is not the way to go
# 13,36.1,600,600,260,2018-04-10
# https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2017-02/figaux_02.png
13,36.1,3,3,880,2018-06-11
# https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2020-16/figaux_01b.png
13,139,2,2,940,2024-01-26
