#: table_doi: 10.17182/hepdata.79808.v1/t11
#: name: Figure 9c observed contour
#: description: Figure 9c (bottom left). Observed exclusion region at 95% CL assuming 100% branching fraction.
#: data_file: SUS16050_Figure9c_T5tttt_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T5tttt | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
1606.870483,1143.114502
1610.338379,1141.21814
1614.053223,1139.199097
1618.140625,1137.287842
1622.542603,1135.525269
1627.217407,1134.052002
1632.118774,1132.726074
1637.065552,1131.422852
1641.935059,1130.238281
1646.726318,1129.220581
1651.365356,1128.342773
1655.873901,1127.680054
1660.254883,1127.176636
1664.541138,1126.877808
1668.884155,1126.678589
1673.173218,1126.502441
1677.460083,1126.369751
1681.781982,1126.234131
1686.119629,1126.103638
1690.420898,1125.973022
1694.629639,1125.878418
1698.724487,1125.881348
1702.73584,1125.991211
1706.724365,1126.176514
1710.795654,1126.488647
1715.058594,1126.877808
1719.534302,1127.312012
1724.267944,1127.802002
1729.219727,1128.384644
1734.282471,1128.964844
1739.325439,1129.554321
1744.209961,1130.128906
1748.836792,1130.680908
1753.177734,1131.157227
1757.170654,1131.711182
1760.941406,1132.440552
1764.652588,1133.334106
1768.329468,1134.467163
1772.063599,1135.906372
1775.881226,1137.581055
1779.731812,1139.492065
1783.581177,1141.544067
1787.321411,1143.444824
1790.906494,1144.997314
1794.308472,1145.951904
1797.466431,1146.249878
1800.569946,1145.811523
1803.668701,1144.679199
1806.870483,1143.114502
1810.338379,1141.21814
1814.053223,1139.199097
1818.140625,1137.287842
1822.542603,1135.525269
1827.217407,1134.052002
1832.118774,1132.726074
1837.065552,1131.422852
1841.989746,1130.074219
1846.821045,1128.608398
1851.512573,1127.004639
1856.078735,1125.285889
1860.510132,1123.402222
1864.82605,1121.482666
1869.169067,1119.57373
1873.483154,1117.612915
1877.759644,1115.651733
1882.076416,1113.734131
1886.419189,1111.821655
1890.676147,1109.753296
1894.765259,1107.575195
1898.712891,1105.165649
1902.380371,1102.51709
1905.81897,1099.609131
1909.049194,1096.574219
1912.173706,1093.373169
1915.140137,1090.08252
1918.097534,1086.795044
1921.022827,1083.428101
1923.80896,1079.909424
1926.433228,1076.231323
1928.854858,1072.305298
1930.923584,1067.966431
1932.549805,1063.21521
1933.818237,1058.130859
1934.823364,1052.828369
1935.658691,1047.359009
1936.456665,1041.979126
1937.434937,1036.743408
1938.621826,1031.817017
1940.180054,1027.2229
1942.006836,1022.872925
1944.071533,1018.779175
1946.352295,1014.842773
1948.698853,1010.939392
1951.012451,1006.970093
1953.168701,1002.78479
1955.068726,998.361572
1956.724609,993.6698
1958.102905,988.716003
1959.266602,983.579163
1960.269409,978.272217
1961.157837,972.915771
1962.066895,967.585205
1963.026367,962.324341
1964.085327,957.173462
1965.247314,952.108093
1966.461914,947.079834
1967.738281,942.153687
1969.126953,937.309814
1970.562866,932.507935
1971.996582,927.664917
1973.376709,922.795166
1974.729004,917.869568
1975.973145,912.811218
1977.097168,907.670044
1978.125854,902.383789
1979.019409,897.022217
1979.907837,891.665771
1980.816895,886.335205
1981.72168,880.965027
1982.57666,875.569946
1983.456421,870.224731
1984.375854,864.883789
1985.269409,859.522217
1986.212524,854.275085
1987.325684,849.188721
1988.567261,844.207703
1989.975952,839.47876
1991.670166,834.983765
1993.5177,830.613037
1995.428589,826.273987
1997.307861,821.871521
1999.062866,817.315674
2000.583984,812.474426
2001.79834,807.356689
2002.8125,802.084961
2003.682739,796.632996
2004.408691,791.108948
2005.1521,785.619873
2005.92627,780.139832
2006.72168,774.715027
2007.57666,769.319946
2008.401855,763.865417
2009.117188,758.280273
2009.67395,752.529541
2010.06311,746.616272
2010.307373,740.570374
2010.416626,734.375
2010.416626,728.125
2010.471313,721.984314
2010.675415,715.978516
2011.012207,710.117676
2011.511353,704.4245
2012.17627,698.889832
2012.97168,693.465027
2013.82666,688.069946
2014.651855,682.615417
2015.367188,677.030273
2015.92395,671.279541
2016.31311,665.366272
2016.557373,659.320374
2016.666626,653.125
2016.666626,646.875
2016.666626,640.625
2016.666626,634.375
2016.666626,628.125
2016.666626,621.875
2016.666626,615.625
2016.666626,609.375
2016.666626,603.125
2016.666626,596.875
2016.666626,590.625
2016.666626,584.375
2016.557373,578.179626
2016.31311,572.133728
2015.92395,566.220459
2015.367188,560.469727
2014.651855,554.884583
2013.82666,549.430054
2012.97168,544.034973
2012.17627,538.610168
2011.511353,533.0755
2011.012207,527.382324
2010.675415,521.521484
2010.471313,515.515686
2010.416626,509.375
2010.416626,503.125
2010.416626,496.875
2010.416626,490.625
2010.416626,484.375
2010.416626,478.125
2010.416626,471.875
2010.416626,465.625
2010.307373,459.429657
2010.06311,453.383728
2009.67395,447.47049
2009.117188,441.719696
2008.401855,436.134583
2007.467285,430.734741
2006.368286,425.543701
2005.183594,420.455627
2004.016479,415.52948
2003.005981,410.745422
2002.180908,406.069244
2001.511841,401.529846
2001.082397,397.133728
2000.82373,392.760986
2000.622559,388.421936
2000.286377,384.076141
1999.728271,379.734802
1998.986328,375.284973
1997.91394,370.750763
1996.533691,366.289154
1994.929443,361.782867
1993.180908,357.276154
1991.466064,352.760437
1989.921387,348.130554
1988.567261,343.292267
1987.325684,338.311279
1986.212524,333.224915
1985.269409,327.977783
1984.375854,322.616211
1983.456421,317.275299
1982.467285,311.984741
1981.368286,306.793701
1980.183594,301.705627
1978.852539,296.724854
1977.393799,291.900635
1975.842651,287.172058
1974.117554,282.575012
1972.307861,278.128479
1970.428589,273.726044
1968.5177,269.386993
1966.560791,265.070892
1964.622437,260.779968
1962.71521,256.442413
1960.781982,252.110092
1958.808472,247.821243
1956.763306,243.586746
1954.612061,239.449783
1952.28894,235.456055
1949.913452,231.588882
1947.51416,227.722534
1945.130493,223.87175
1942.857056,219.942566
1940.735596,215.866364
1938.767578,211.634872
1936.9198,207.267593
1935.117065,202.825409
1933.199951,198.432739
1931.182373,194.180008
1929.018799,190.030731
1926.677368,186.06459
1924.19812,182.253769
1921.688965,178.518021
1919.166382,174.781296
1916.708008,171.026474
1914.328125,167.177185
1911.968872,163.286407
1909.568115,159.416382
1906.963623,155.679337
1904.206177,152.156082
1901.193481,148.806564
1897.953247,145.739166
1894.564819,142.83226
1890.972778,140.095108
1887.270386,137.531921
1883.538086,135.007034
1879.798706,132.496475
1876.073608,129.97876
1872.277466,127.485794
1868.520386,125.031929
1864.788086,122.507042
1860.939453,120.051132
1857.079346,117.682838
1853.138306,115.322548
1849.213623,113.031151
1845.322876,110.671921
1841.418823,108.455917
1837.623901,106.445885
1833.944092,104.594505
1830.394897,102.937408
1826.922852,101.501572
1823.483765,100.281548
1820.049927,99.162964
1816.542725,98.025177
1812.811157,96.837456
1808.832886,95.602417
1804.516846,94.319054
1799.865112,93.111404
1794.856689,91.951691
1789.584961,90.937515
1784.133057,90.067291
