#: table_doi: 10.17182/hepdata.79808.v1/t8
#: name: Figure 9b observed contour
#: description: Figure 9b (upper right). Observed exclusion region at 95% CL.
#: data_file: SUS16050_Figure9b_T1ttbb_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T1ttbb | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
1619.738281,1145.817871
1624.322632,1146.442627
1629.219727,1147.134644
1634.282471,1147.714844
1639.325439,1148.304321
1644.209961,1148.878906
1648.836792,1149.430908
1653.177734,1149.907227
1657.170654,1150.461182
1660.941406,1151.190552
1664.5979,1151.974854
1668.180054,1152.809082
1671.71228,1153.709595
1675.284912,1154.640137
1678.882568,1155.469238
1682.429443,1156.357666
1685.996094,1157.331177
1689.5979,1158.224854
1693.180054,1159.059082
1696.71228,1159.959595
1700.284912,1160.890137
1703.882568,1161.719238
1707.538696,1162.552979
1711.349609,1163.32251
1715.395264,1163.988647
1719.738281,1164.567871
1724.431885,1165.137939
1729.573242,1165.625854
1734.970459,1166.033325
1740.530273,1166.571899
1746.187012,1167.152832
1751.770874,1167.6521
1757.10144,1168.072754
1762.134766,1168.369751
1766.82666,1168.423584
1771.279541,1168.144287
1775.569946,1167.477539
1779.800903,1166.464233
1784.038818,1165.123413
1788.310425,1163.603638
1792.787109,1162.029053
1797.43335,1160.470581
1802.108154,1159.106567
1806.819946,1158.094116
1811.526978,1157.262573
1816.081543,1156.66748
1820.564209,1156.27832
1824.932983,1156.0177
1829.273926,1155.820557
1833.634155,1155.50708
1837.996338,1154.959351
1842.381104,1154.087402
1846.688354,1152.756348
1850.754639,1150.87561
1854.55957,1148.474365
1858.024414,1145.53479
1861.116821,1142.313477
1864.029175,1138.92334
1866.802856,1135.413086
1869.557739,1131.967163
1872.447021,1128.642334
1875.513062,1125.563599
1878.826294,1122.663574
1882.22876,1119.831665
1885.657349,1117.005005
1889.084839,1114.191895
1892.464111,1111.254272
1895.669312,1108.169312
1898.754272,1104.964111
1901.691895,1101.584839
1904.505005,1098.157349
1907.331665,1094.72876
1910.163574,1091.326294
1913.063599,1088.013062
1916.087646,1084.837646
1919.208496,1081.704224
1922.317627,1078.560181
1925.383301,1075.338989
1928.312622,1071.955444
1931.075195,1068.427124
1933.659058,1064.664185
1936.064087,1060.83374
1938.473145,1056.967896
1940.828247,1053.068726
1943.192261,1049.200317
1945.591309,1045.349365
1947.9729,1041.463501
1950.269043,1037.459229
1952.394531,1033.264771
1954.273193,1028.786377
1955.869751,1024.064941
1957.223145,1019.061218
1958.29248,1013.81073
1959.117188,1008.280273
1959.67395,1002.529541
1960.06311,996.616272
1960.307373,990.570374
1960.416626,984.375
1960.471313,978.234314
1960.675415,972.228516
1961.066772,966.47699
1961.770142,961.028015
1962.826416,955.991882
1964.325195,951.368042
1966.236328,947.186768
1968.560303,943.358459
1971.132202,939.732788
1973.80896,936.159485
1976.487793,932.590637
1979.113647,928.908813
1981.519043,924.959167
1983.699219,920.874084
1985.781982,916.639893
1987.71521,912.307617
1989.567871,907.860718
1991.302124,903.325623
1992.922241,898.6203
1994.333984,893.724426
1995.602905,888.716003
1996.766602,883.579163
1997.769409,878.272217
1998.657837,872.915771
1999.566895,867.585205
2000.526367,862.324341
2001.585327,857.173462
2002.747314,852.108093
2003.961914,847.079834
2005.183594,842.044373
2006.368286,836.956299
2007.467285,831.765259
2008.401855,826.365417
2009.117188,820.780273
2009.67395,815.029541
2010.06311,809.116272
2010.307373,803.070374
2010.416626,796.875
2010.416626,790.625
2010.416626,784.375
