#: table_doi: 10.17182/hepdata.79808.v1/t5
#: name: Figure 9a observed contour
#: description: Figure 9a (upper left). Observed exclusion region at 95% CL assuming 100% branching fraction.
#: data_file: SUS16050_Figure9a_T1tttt_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T1tttt | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
1422.43396,1065.338867
1426.254272,1067.706909
1429.887329,1070.261108
1433.259766,1073.039673
1436.294434,1076.13562
1438.987305,1079.581543
1441.351807,1083.358521
1443.588257,1087.362305
1445.875244,1091.355469
1448.475098,1095.146973
1451.735229,1098.396362
1455.670166,1100.919067
1460.12915,1102.868164
1465.009399,1104.369507
1469.987427,1105.624634
1474.866333,1106.95459
1479.544556,1108.446655
1483.945435,1110.196899
1488.182007,1112.177612
1492.385986,1114.223755
1496.655273,1116.237061
1501.015137,1118.156128
1505.439941,1119.99939
1509.945923,1121.774902
1514.623169,1123.417603
1519.290771,1124.960205
1523.918579,1126.582397
1528.625977,1128.164795
1533.233276,1129.737549
1537.707642,1131.481689
1542.114502,1133.306763
1546.585327,1135.126953
1551.015137,1136.906128
1555.439941,1138.74939
1559.945923,1140.524902
1564.623169,1142.167603
1569.290771,1143.710205
1573.918579,1145.332397
1578.625977,1146.914795
1583.373169,1148.417603
1588.110718,1149.750366
1592.800049,1150.768066
1597.517212,1151.182129
1602.071411,1150.849121
1606.454102,1149.880981
1610.632812,1148.265747
1614.654663,1146.185913
1618.552124,1143.762085
1622.296265,1141.245483
1626.029663,1138.739624
1629.855835,1136.386963
1633.746094,1134.298706
1637.714844,1132.770386
1641.818604,1131.711914
1645.882935,1131.1073
1649.99646,1130.927612
1654.183472,1130.883179
1658.456421,1130.813232
1662.976562,1130.586182
1667.784058,1130.22168
1672.971924,1129.842529
1678.458008,1129.578003
1684.041992,1129.578003
1689.528076,1129.842529
1694.715942,1130.22168
1699.383545,1130.656128
1703.570679,1131.154663
1707.289551,1131.698975
1710.685913,1132.455566
1713.971313,1133.483887
1717.35083,1134.834717
1720.950195,1136.456909
1724.804199,1138.265259
1728.967285,1140.191895
1733.443115,1142.02771
1738.110718,1143.500366
1742.800049,1144.518066
1747.587158,1145.072021
1752.412842,1145.072021
1757.199951,1144.518066
1761.889282,1143.500366
1766.626831,1142.167603
1771.304077,1140.524902
1775.810059,1138.74939
1780.094971,1136.976074
1784.191772,1135.468384
1788.178467,1134.262451
1791.996094,1133.342651
1795.705322,1132.738159
1799.532837,1132.419678
1803.5979,1132.122803
1807.884155,1131.673828
1812.432251,1131.000366
1817.171143,1130.081787
1821.946289,1129.025391
1826.597046,1128.03186
1831.041382,1127.266602
1835.34314,1126.891113
1839.586914,1126.751221
1843.687134,1126.58374
1847.71875,1126.190552
1851.736938,1125.36499
1855.671997,1123.950439
1859.442749,1121.9646
1863.162598,1119.614136
1866.871704,1117.052856
1870.51709,1114.425171
1874.046509,1111.634766
1877.327515,1108.557129
1880.270386,1105.129028
1882.77356,1101.184326
1884.802368,1096.884766
1886.673096,1092.504272
1888.609009,1088.25769
1890.750244,1084.218994
1893.181274,1080.549683
1895.973267,1077.15332
1898.888428,1073.818481
1901.81189,1070.500244
1904.734009,1067.154297
1907.69104,1063.932617
1910.811157,1060.823242
1914.109985,1058.009644
1917.723877,1055.413452
1921.505615,1053.033203
1925.40564,1050.625366
1929.111328,1048.002686
1932.588867,1045.158936
1935.77417,1041.944458
1938.599731,1038.459717
1941.245483,1034.796265
1943.762085,1031.052124
1946.255859,1027.294556
1948.74707,1023.535828
1951.169678,1019.639709
1953.404053,1015.573303
1955.446289,1011.275085
1957.157959,1006.587036
1958.459106,1001.5271
1959.459595,996.199158
1960.285156,990.756531
1961.092529,985.332031
1961.94458,979.942627
1962.863159,974.660767
1963.950806,969.568359
1965.19043,964.570007
1966.525391,959.726135
1968.06311,955.074158
1969.789062,950.617798
1971.72876,946.385986
1973.886963,942.355774
1976.169678,938.389709
1978.404053,934.323303
1980.446289,930.025085
1982.157959,925.337036
1983.459106,920.2771
1984.389648,914.809265
1984.943726,909.033569
1985.34668,903.194946
1985.758057,897.347961
1986.302368,891.791931
1987.286011,886.665588
1988.678955,881.937744
1990.408813,877.496094
1992.365479,873.272766
1994.445312,869.085693
1996.441895,864.782654
1998.347656,860.446838
2000.231689,856.042297
2002.056763,851.635498
2003.876953,847.164673
2005.586182,842.595032
2007.157959,837.837036
2008.459106,832.7771
2009.389648,827.309265
2009.943726,821.533569
2010.276733,815.555054
2010.416626,809.375
2010.416626,803.125
2010.486572,797.014893
2010.758057,791.097961
2011.232422,785.401978
2011.94458,779.942627
2012.863159,774.660767
2013.880859,769.428467
2014.848999,764.097046
2015.709595,758.699158
2016.535156,753.256531
2017.342529,747.832031
2018.19458,742.442627
2019.113159,737.160767
2020.130859,731.928467
2021.098999,726.597046
2021.889648,721.059265
2022.443726,715.283569
2022.776733,709.305054
2022.916626,703.125
2022.916626,696.875
2022.986572,690.764893
2023.258057,684.847961
2023.732422,679.151978
2024.44458,673.692627
2025.363159,668.410767
2026.450806,663.318359
2027.69043,658.320007
2028.955444,653.336243
2030.22168,648.351196
2031.473267,643.34082
2032.630859,638.178467
2033.598999,632.847046
2034.389648,627.309265
2034.943726,621.533569
2035.276733,615.555054
2035.416626,609.375
2035.416626,603.125
2035.416626,596.875
2035.416626,590.625
2035.416626,584.375
2035.416626,578.125
2035.416626,571.875
2035.416626,565.625
2035.416626,559.375
2035.416626,553.125
2035.416626,546.875
2035.416626,540.625
2035.416626,534.375
2035.416626,528.125
2035.416626,521.875
2035.416626,515.625
2035.416626,509.375
2035.416626,503.125
2035.416626,496.875
2035.416626,490.625
2035.416626,484.375
2035.416626,478.125
2035.416626,471.875
2035.416626,465.625
2035.416626,459.375
2035.416626,453.125
2035.416626,446.875
2035.416626,440.625
2035.416626,434.375
2035.416626,428.125
2035.416626,421.875
2035.416626,415.625
2035.416626,409.375
2035.416626,403.125
2035.416626,396.875
2035.416626,390.625
2035.416626,384.375
2035.416626,378.125
2035.416626,371.875
2035.416626,365.625
2035.416626,359.375
2035.416626,353.125
2035.416626,346.875
2035.416626,340.625
2035.416626,334.375
2035.416626,328.125
2035.416626,321.875
2035.416626,315.625
2035.416626,309.375
2035.416626,303.125
2035.416626,296.875
2035.416626,290.625
2035.416626,284.375
2035.416626,278.125
2035.416626,271.875
2035.416626,265.625
2035.416626,259.375
2035.416626,253.125
2035.416626,246.875
2035.416626,240.625
2035.416626,234.375
2035.416626,228.125
2035.416626,221.875
2035.416626,215.625
2035.416626,209.375
2035.416626,203.125
2035.416626,196.875
2035.416626,190.625
2035.416626,184.375
2035.416626,178.125
2035.416626,171.875
2035.416626,165.625
2035.416626,159.375
2035.416626,153.125
2035.416626,146.875
2035.416626,140.625
2035.416626,134.375
2035.416626,128.125
2035.416626,121.875
2035.416626,115.625
2035.416626,109.375
2035.416626,103.125
2035.416626,96.875
2035.416626,90.625
2035.416626,84.375
2035.416626,78.125
2035.416626,71.875
2035.416626,65.625
2035.416626,59.375
2035.416626,53.125
2035.416626,46.875
2035.416626,40.625
2035.416626,34.375
2035.416626,28.125
2035.416626,22.084856
2035.416626,16.439358
2035.416626,11.427607

