#: table_doi: 10.17182/hepdata.144178.v2/t37
#: name: Limit curve for pure Higgsino
#: description: Limit in the mass plane of the pure Higgsino model
#: data_file: limit_curve_for_pure_higgsino.yaml
$m_{\tilde{\chi}_1^\pm}$ (GeV),$\Delta m(\tilde{\chi})$ (GeV) [GeV]
143.9,0.34048
143.01,0.34163
142.5,0.34227
142.14,0.34278
141.32,0.34392
140.48,0.34507
139.63,0.34622
138.76,0.34737
137.87,0.34852
137.5,0.34898
137.02,0.34967
136.2,0.35081
135.35,0.35196
134.48,0.35311
133.58,0.35426
132.64,0.35541
132.5,0.35557
131.75,0.35656
130.83,0.3577
129.85,0.35885
128.8,0.36
127.67,0.36115
127.5,0.36131
126.58,0.3623
125.43,0.36344
124.23,0.36459
122.97,0.36574
122.5,0.36615
121.73,0.36689
120.47,0.36804
119.1,0.36919
117.64,0.37033
117.5,0.37044
116.25,0.37148
114.83,0.37263
113.35,0.37378
112.5,0.37441
111.89,0.37493
110.45,0.37608
108.96,0.37722
107.5,0.37832
107.43,0.37837
106.01,0.37952
104.56,0.38067
103.12,0.38182
102.5,0.38231
101.25,0.38297
99.129,0.38411
97.5,0.38504

