# lep digitized from here: https://lepsusy.web.cern.ch/lepsusy/www/gmsb_summer02/lepgmsb.html
# lifetime (ns), mass
0.0010160066528271446, 87.06896551724137
0.003187485925972298, 87.06896551724137
0.008006602648077564, 89.08045977011494
0.012489691869998201, 89.08045977011494
0.05051824745139101, 92.09770114942526
0.08134761556990205, 92.09770114942526
0.12689610031679235, 94.10919540229884
0.1979482762069703, 94.10919540229884
0.3187485925972288, 95.11494252873561
0.49722358914499976, 95.11494252873561
0.8006602648077548, 95.97701149425286
12.689610031679234, 96.1206896551724
19.79482762069703, 97.12643678160919
984.2455236069533, 96.98275862068965
1000, 97.5
5000, 97.5
5000, 45
0.001,45
