#: table_doi: 10.17182/hepdata.134068.v1/t89
#: name: excl_comb_obs_nominal_SR0j
#: description: Observed and expected exclusion limits on SUSY simplified models for slepton-pair production in the $m(\tilde{\ell})-m(\tilde{\chi}_1^0)$ plane. Only $\tilde{e}$ and $\tilde{\mu}$ are considered. The observed (solid thick line) and expected (thin dashed line) exclusion contours are indicated. The red contour shows the exclusion limits obtained using both the SR-0J and SR-1J region, as presented in Figure 6. The blue and green contours correspond to the result obtained considering only SR-0J and SR-1J region respectively. All limits are computed at 95% CL. The observed limits obtained by the ATLAS experiment in previous searches are also shown.
#: data_file: excl_comb_obs_nominal_sr0j.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> SLEPTON+ SLEPTON- X
#: Region,SR-0J
$m(\tilde{\ell})$ [GeV],$m(\tilde{\chi}_1^0)$ [GeV]
287.11,1.00
287.14,1.31
287.50,5.03
288.63,9.06
290.10,13.09
291.18,15.79
291.72,17.12
293.51,21.15
295.21,24.72
295.43,25.18
297.54,29.21
299.24,32.08
299.88,33.24
302.28,37.28
303.27,38.85
304.47,41.31
306.05,45.34
306.71,49.37
306.20,53.40
304.64,57.43
303.27,60.12
302.39,61.46
299.94,65.49
299.24,66.79
297.66,69.52
295.77,73.55
295.21,74.94
294.19,77.58
292.91,81.61
291.86,85.64
291.18,88.76
291.00,89.67
290.31,93.70
289.79,97.73
289.41,101.76
289.08,105.80
288.70,109.83
288.18,113.86
287.47,117.89
287.14,119.29
286.52,121.92
285.27,125.95
283.61,129.98
283.11,130.91
281.43,134.01
279.08,137.24
278.51,138.04
275.05,141.80
274.83,142.07
271.14,146.10
271.02,146.25
268.28,150.13
266.99,152.14
265.32,154.16
262.96,156.37
259.63,158.19
258.93,158.49
254.90,159.16
250.87,158.64
249.78,158.19
246.84,157.14
242.81,154.86
241.74,154.16
238.78,152.23
235.31,150.13
234.75,149.79
230.72,147.57
227.80,146.10
226.69,145.54
222.66,143.41
220.01,142.07
218.63,141.40
214.59,139.52
211.17,138.04
210.56,137.77
206.53,136.03
202.50,134.21
202.14,134.01
198.47,132.14
194.61,129.98
194.44,129.89
190.41,127.63
187.04,125.95
186.38,125.61
182.35,123.67
178.78,121.92
178.32,121.64
174.29,118.02
174.18,117.89
170.26,114.07
170.03,113.86
166.23,110.65
165.14,109.83
162.20,107.66
159.33,105.80
158.17,105.00
154.14,102.48
153.02,101.76
150.11,99.69
147.96,97.73
146.08,95.99
143.34,93.70
142.05,92.70
138.01,90.70
133.98,89.82
131.79,89.67
129.95,89.55
125.92,89.42
121.89,88.49
117.86,86.13
117.31,85.64
114.21,81.61
113.83,81.10
111.48,77.58
109.80,75.86
106.93,73.55
105.77,72.91
101.74,71.63
97.71,71.07
93.68,70.82

