#: table_doi: 10.17182/hepdata.127766.v2/t12
#: name: Figure 4b Observed Lines
#: description: Observed exclusion limits assuming the approximate-NLO+NLL cross sections
#: data_file: figure_4b_observed_lines.yaml
#: keyword cmenergies: 13000
#: keyword observables: Cross-section
#: keyword phrases: Supersymmetry | SUSY
m(NSLP) [GeV],max m(LSP) [GeV] excluded
235.22,0.5
236.15,17.383
238.64,23.853
243.04,31.139
249.26,38.739
257.45,46.876
266.97,55.143
277.38,63.516
288.57,71.374
299.73,79.226
310.87,86.921
321.69,94.13
332.48,100.63
343.0,106.2
353.17,111.27
363.13,115.63
372.91,119.73
382.12,123.27
391.47,126.83
400.67,130.42
409.93,134.41
419.43,138.63
429.02,142.91
438.64,147.49
448.19,152.24
457.33,157.14
466.38,162.02
475.1,166.74
483.94,171.26
492.98,175.64
502.16,179.81
512.1,183.83
522.67,187.77
533.7,191.66
545.19,195.91
557.02,200.34
568.7,204.9
580.13,209.47
591.11,213.82
601.4,217.54
610.77,220.45
619.61,222.23
628.0,222.85
636.09,222.42
644.14,220.75
652.38,218.39
661.15,215.01
670.32,210.93
679.69,206.33
689.17,200.9
698.38,194.75
707.24,187.98
715.33,180.29
722.43,172.06
728.54,162.97
733.54,153.28
737.62,143.43
741.08,133.25
743.84,123.24
746.37,113.3
748.78,103.47
751.27,94.078
753.8,84.624
756.34,74.789
758.69,64.733
760.66,54.334
762.12,44.039
763.09,33.986
763.48,24.734
763.36,0.5
